name,price,symbol,updatedAt,updatedAtReadable
Silver,90.674004,XAG,2026-02-04T13:31:35Z,a few seconds ago
Gold,5050.299805,XAU,2026-02-04T13:31:35Z,a few seconds ago
Bitcoin,75715.273438,BTC,2026-02-04T13:31:36Z,a few seconds ago
Ethereum,2228.780029,ETH,2026-02-04T13:31:37Z,a few seconds ago
Palladium,1850.0,XPD,2026-02-04T13:31:37Z,a few seconds ago
Copper,6.004656,HG,2026-02-04T13:31:38Z,a few seconds ago
Platinum,2292.0,XPT,2026-02-04T13:31:39Z,a few seconds ago
